"part_id","cont_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi"
9,906,3,3,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
9,907,47,47,NA,"M",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,5
9,908,1,1,NA,"F",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,5
9,909,3,3,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
9,910,1,1,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3
9,911,1,1,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3
9,912,2,2,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
9,913,1,1,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3
9,914,2,2,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
9,915,2,2,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
9,916,1,1,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3
9,917,80,80,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,3
9,918,2,2,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
9,919,2,2,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
9,920,1,1,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3
9,921,41,41,NA,"F",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,5
9,922,3,3,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
9,923,1,1,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,3
9,924,3,3,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
9,925,3,3,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
9,926,13,13,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,3
9,927,2,2,NA,"M",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
9,928,2,2,NA,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,1,5
10,1001,10,10,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
10,1002,55,55,NA,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
10,1003,3,2,5,"F",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,3
10,1004,40,35,45,"F",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,1,3
10,1005,40,40,NA,"M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,4
